dataset,size_pct,size_frac,control,control_label,n_seeds,n_train,auc_mean,auc_std,acc_mean,acc_std,sens_mean,sens_std,train_time_mean
WDBC,10,0.1,A,"Control A (Hybrid VQC, 73p)",10,45,0.9866732804232801,0.009538559129399262,0.9289473684210522,0.02725735950040127,0.852380952380952,0.07080859689903315,0.7880227327346796
WDBC,10,0.1,B,"Control B (Classical MLP, 73p)",10,45,0.9912037037037035,0.0074373319504461455,0.9412280701754383,0.027444912351479334,0.8690476190476186,0.06568629110018602,0.0157231330871577
WDBC,10,0.1,C,Control C (Ablated Entanglement),10,45,0.9900793650793649,0.008140564566859349,0.9368421052631575,0.03328713326493046,0.8595238095238089,0.07312793333199641,0.6867455959320063
WDBC,10,0.1,D,Control D (Frozen Feature Map),10,45,0.987599206349206,0.009755446695117721,0.9315789473684207,0.030330532116701628,0.8547619047619044,0.08128627066075793,0.6388183355331417
WDBC,25,0.25,A,"Control A (Hybrid VQC, 73p)",10,113,0.9965608465608463,0.0017090870761300502,0.9535087719298243,0.018972079763167633,0.8999999999999997,0.060233860193683514,1.08196530342102
WDBC,25,0.25,B,"Control B (Classical MLP, 73p)",10,113,0.9957671957671954,0.002546272437033493,0.9614035087719295,0.01991741095429988,0.9190476190476187,0.04654881999560392,0.020361208915709902
WDBC,25,0.25,C,Control C (Ablated Entanglement),10,113,0.9966269841269838,0.001684741902516904,0.9631578947368418,0.013589415249850514,0.9166666666666663,0.040855675162647,0.9619879245758053
WDBC,25,0.25,D,Control D (Frozen Feature Map),10,113,0.9940145502645498,0.006443370328399818,0.950877192982456,0.031546442009967555,0.8976190476190471,0.08327662469571227,0.8785049200057979
WDBC,50,0.5,A,"Control A (Hybrid VQC, 73p)",10,227,0.9959325396825394,0.0013232105316950554,0.9657894736842101,0.011286701207964009,0.9261904761904758,0.02620249844320526,1.7429485797882076
WDBC,50,0.5,B,"Control B (Classical MLP, 73p)",10,227,0.9964947089947087,0.0009634820715791085,0.9666666666666665,0.01536131641703353,0.9285714285714282,0.031746031746031744,0.024652528762817004
WDBC,50,0.5,C,Control C (Ablated Entanglement),10,227,0.9964947089947088,0.000827821135604868,0.9710526315789471,0.010171068497617468,0.9309523809523805,0.026202498443205272,1.5796727657318113
WDBC,50,0.5,D,Control D (Frozen Feature Map),10,227,0.9959986772486771,0.0015931848885227162,0.9631578947368415,0.015361316417033585,0.921428571428571,0.03558176471660303,1.3989059925079341
WDBC,100,1.0,A,"Control A (Hybrid VQC, 73p)",10,455,0.9980489417989414,0.00042549072014130926,0.9789473684210522,0.0045298050832838195,0.9499999999999996,0.007529232524210516,3.6850497722625724
WDBC,100,1.0,B,"Control B (Classical MLP, 73p)",10,455,0.9984126984126979,0.00048800581175418255,0.9824561403508769,0.0058479532163743285,0.9642857142857141,0.012548720873684104,0.038743233680724604
WDBC,100,1.0,C,Control C (Ablated Entanglement),10,455,0.9981812169312164,0.00023383160753488163,0.984210526315789,0.006919391559180903,0.9666666666666665,0.01229518522605536,3.4062896251678465
WDBC,100,1.0,D,Control D (Frozen Feature Map),10,455,0.9979166666666662,0.0010108691814911274,0.972807017543859,0.008723060754488908,0.9309523809523805,0.02084750085168856,3.0344173908233643
