dataset,seed,model,accuracy,auc_roc,recall_sensitivity,specificity,f1,time_sec
Heart Disease,9,QSVM (Fidelity Quantum Kernel),0.6833333333333333,0.734375,0.5714285714285714,0.78125,0.6274509803921569,0.326732873916626
Heart Disease,9,Classical SVM-RBF,0.8833333333333333,0.9051339285714286,0.7857142857142857,0.96875,0.8627450980392157,0.0022313594818115234
Parkinson's,0,QSVM (Fidelity Quantum Kernel),0.8205128205128205,0.8586206896551725,0.9655172413793104,0.4,0.8888888888888888,0.25033068656921387
Parkinson's,0,Classical SVM-RBF,0.8205128205128205,0.9137931034482758,0.896551724137931,0.6,0.8813559322033898,0.0009424686431884766
Parkinson's,1,QSVM (Fidelity Quantum Kernel),0.8205128205128205,0.8862068965517241,1.0,0.3,0.8923076923076924,0.21577882766723633
Parkinson's,1,Classical SVM-RBF,0.8461538461538461,0.8344827586206897,0.9655172413793104,0.5,0.9032258064516129,0.0009996891021728516
Parkinson's,2,QSVM (Fidelity Quantum Kernel),0.8461538461538461,0.9551724137931035,1.0,0.4,0.90625,0.2186903953552246
Parkinson's,2,Classical SVM-RBF,0.8461538461538461,0.8896551724137931,0.9655172413793104,0.5,0.9032258064516129,0.0010006427764892578
Parkinson's,3,QSVM (Fidelity Quantum Kernel),0.8717948717948718,0.9068965517241379,1.0,0.5,0.9206349206349206,0.22897577285766602
Parkinson's,3,Classical SVM-RBF,0.9487179487179487,0.9931034482758622,1.0,0.8,0.9666666666666667,0.0010006427764892578
Parkinson's,4,QSVM (Fidelity Quantum Kernel),0.8461538461538461,0.8620689655172414,1.0,0.4,0.90625,0.20887160301208496
Parkinson's,4,Classical SVM-RBF,0.8974358974358975,0.9241379310344828,1.0,0.6,0.9354838709677419,0.002000093460083008
Parkinson's,5,QSVM (Fidelity Quantum Kernel),0.8717948717948718,0.9034482758620689,1.0,0.5,0.9206349206349206,0.20294666290283203
Parkinson's,5,Classical SVM-RBF,0.7948717948717948,0.7655172413793104,1.0,0.2,0.8787878787878788,0.0014233589172363281
Parkinson's,6,QSVM (Fidelity Quantum Kernel),0.7692307692307693,0.7689655172413794,0.9655172413793104,0.2,0.8615384615384616,0.19741606712341309
Parkinson's,6,Classical SVM-RBF,0.9230769230769231,0.9068965517241379,1.0,0.7,0.9508196721311475,0.0010139942169189453
Parkinson's,7,QSVM (Fidelity Quantum Kernel),0.7435897435897436,0.9000000000000001,0.9655172413793104,0.1,0.8484848484848485,0.2063000202178955
Parkinson's,7,Classical SVM-RBF,0.8974358974358975,0.9724137931034482,1.0,0.6,0.9354838709677419,0.001998424530029297
Parkinson's,8,QSVM (Fidelity Quantum Kernel),0.8717948717948718,0.893103448275862,1.0,0.5,0.9206349206349206,0.21126651763916016
Parkinson's,8,Classical SVM-RBF,0.9230769230769231,0.9758620689655173,1.0,0.7,0.9508196721311475,0.0009911060333251953
Parkinson's,9,QSVM (Fidelity Quantum Kernel),0.8205128205128205,0.8793103448275863,1.0,0.3,0.8923076923076924,0.20399880409240723
Parkinson's,9,Classical SVM-RBF,0.8974358974358975,0.9137931034482758,1.0,0.6,0.9354838709677419,0.0013842582702636719
Liver (ILPD),0,QSVM (Fidelity Quantum Kernel),0.646551724137931,0.5783132530120482,0.8674698795180723,0.09090909090909091,0.7783783783783784,0.6351239681243896
Liver (ILPD),0,Classical SVM-RBF,0.7155172413793104,0.6589996349032494,1.0,0.0,0.8341708542713567,0.005998373031616211
Liver (ILPD),1,QSVM (Fidelity Quantum Kernel),0.6810344827586207,0.5491055129609346,0.891566265060241,0.15151515151515152,0.8,0.6278266906738281
Liver (ILPD),1,Classical SVM-RBF,0.6896551724137931,0.5439941584519897,0.9156626506024096,0.12121212121212122,0.8085106382978723,0.0060198307037353516
Liver (ILPD),2,QSVM (Fidelity Quantum Kernel),0.7241379310344828,0.6049653158086892,0.9759036144578314,0.09090909090909091,0.8350515463917526,0.63761305809021
Liver (ILPD),2,Classical SVM-RBF,0.7155172413793104,0.7393209200438116,1.0,0.0,0.8341708542713567,0.005506038665771484
